player,Goals,Total_xG,Avg_xG_per_Shot,Shot_Count,G_minus_xG,Aerial_Duels_Won,Aerial_Duels_Total,Aerial_Pass_Wins,Total_Aerial_Wins,Finishing_Percentile,Aerial_Percentile,Smart_Scout_Score,Total_Minutes,Goals_p90,Total_xG_p90,Total_Aerial_Wins_p90,scaled_Goals_p90,scaled_Total_xG_p90,scaled_Total_Aerial_Wins_p90,scaled_G_minus_xG,is_aerial_specialist,is_clinical_finisher,is_high_volume_threat
Jewison Bennette,0,0.037811525,0.037811525,1,-0.037811525,0,0,0,0,0.5066666666666667,0.0666666666666666,0.2866666666666667,255,0.0,0.013345244117647058,0.0,0.0,0.007668926200984782,0.0,0.3171096671144361,0,0,0
Abdulrahman Al-Obood,0,0.041744728,0.041744728,1,-0.041744728,0,0,0,0,0.4933333333333333,0.0666666666666666,0.28,190,0.0,0.019773818526315788,0.0,0.0,0.014490449754991079,0.0,0.3164416973400229,0,0,0
Jonathan David,0,0.8128135049999999,0.1016016881249999,8,-0.8128135049999999,0,0,2,2,0.08,0.4466666666666666,0.2633333333333333,257,0.0,0.2846428616731517,0.7003891050583657,0.0,0.29554971759465776,0.15008337965536409,0.1854922810424822,0,0,0
Gabriel Fernando de Jesus,0,0.323986363,0.1619931815,2,-0.323986363,1,0,0,1,0.2266666666666666,0.24,0.2333333333333333,254,0.0,0.1147983175984252,0.3543307086614173,0.0,0.11532335879839434,0.07592800899887513,0.2685090375558834,0,0,0
Joshua Sargent,0,0.362028482,0.0905071205,4,-0.362028482,0,0,1,1,0.1866666666666666,0.24,0.2133333333333333,242,0.0,0.13463869165289255,0.371900826446281,0.0,0.13637648353944745,0.07969303423848878,0.26204840339928653,0,0,0
Kasper Dolberg,0,0.511986249,0.12799656225,4,-0.511986249,0,0,1,1,0.16,0.24,0.2,252,0.0,0.1828522317857143,0.3571428571428571,0.0,0.18753709532214285,0.07653061224489795,0.23658130805879835,0,0,0
Pedro Guilherme Abreu dos Santos,1,1.215663274,0.2431326548,5,-0.2156632739999999,0,0,0,0,0.3333333333333333,0.0666666666666666,0.1999999999999999,219,0.410958904109589,0.499587646849315,0.0,0.35159817351598166,0.5236330875114512,0.0,0.28690538000835,0,0,0
Cyle Larin,0,0.249796684,0.0832655613333333,3,-0.249796684,0,0,0,0,0.28,0.0666666666666666,0.1733333333333333,198,0.0,0.11354394727272726,0.0,0.0,0.11399231459197487,0.0,0.28110855584807837,0,0,0
Thomas Müller,0,0.270048914,0.0900163046666666,3,-0.270048914,0,0,0,0,0.2666666666666666,0.0666666666666666,0.1666666666666666,200,0.0,0.1215220113,0.0,0.0,0.1224580409284429,0.0,0.27766915099039274,0,0,0
Haris Seferović,0,0.27028984,0.27028984,1,-0.27028984,0,0,0,0,0.2533333333333333,0.0666666666666666,0.16,282,0.0,0.08626271489361702,0.0,0.0,0.08504350612746205,0.0,0.277628234900918,0,0,0
Romelu Lukaku Menama,0,1.68415473,0.3368309459999999,5,-1.68415473,0,0,1,1,0.0266666666666666,0.24,0.1333333333333333,185,0.0,0.8193185172972972,0.4864864864864865,0.0,0.8629076334765361,0.10424710424710425,0.03751375018603942,0,0,1
